"Name","Price","genres","features","developer","publisher","platform","Release date","note critique","moyenne avis","Classification OpenCritique"
"Rising Hell","7,99 €","","Rogue-lite Solo","Tahoe Games","Toge Productions","Windows","11/02/22","67 ","79","Très bien"
"Rising Storm 2: Vietnam","21,99 €","","Action Stratégie Multijoueur","Antimatter Games Tripwire Interactive","Tripwire Interactive","Windows","08/10/20","76 ","79","Très bien"
"Risk of Rain 2","19,99 €","","Survie Coopération Multijoueur Solo","Hopoo Games, LLC","Gearbox Publishing","Windows","19/04/22","96 ","86","Super"
"Riverbond","19,99 €","","Action-aventure Indépendant Solo Coopération Compatibilité manette","Cococucumber","Cococucumber","Windows","21/04/22","24 ","65","Mauvais"
"Road 96","19,96 €","","Aventure Indépendant Solo Compatibilité manette","DigixArt","Ravenscourt","Windows","16/08/21","73 ","77","Très bien"
"Roccos Island Disponible le 2022","11,99 €","","Aventure Casse-tête Indépendant Solo","Cogoo","Cogoo","Windows Mac OS","2022","","",""
"Rocket League®","Gratuit","","Sport Course Coopération Multijoueur Compétitif Succès Solo","Psyonix LLC","Psyonix LLC","Windows","23/09/20","93 ","87","Super"
"Rogue Company","Gratuit","","Action Jeux de tir Coopération Multijoueur Compétitif Solo Compatibilité manette","First Watch Games","Hi-Rez Studios","Windows","30/09/20","","",""
"Rogue Legacy","11,99 €","","Action Indépendant Solo","Cellar Door Games","Cellar Door Games","Windows","07/04/22","95 ","84","Super"
"Rogue Legacy 2","15,99 €","","Rogue-lite Indépendant Solo Compatibilité manette","Cellar Door Games","Cellar Door Games","Windows","18/08/20","100"," 8"," Super"
"Rogue Lords","24,99 €","","Rogue-lite Indépendant","Leikir Studio","Nacon","Windows","30/09/21","","",""
"Rogue State Revolution","12,49 €","","Construction de villes Rogue-lite Stratégie Solo","Little Red Dog Games","Modern Wolf","Windows","18/03/21","","",""
"Roguebook","24,99 €","","Jeux de cartes Indépendant Solo Compatibilité manette","Abrakam Entertainment SA","Nacon","Windows Mac OS","20/10/21","","",""
"RollerCoaster Tycoon Adventures","29,99 €","","Casual Simulation Solo","Nvizzio Creations","Atari","Windows","29/11/18","21 ","54","Mauvais"
"RollerCoaster Tycoon 3 Complete Edition","19,99 €","","","","","Windows","","72%","5 ","rès bien"
"Rollers of the Realm: Reunion Bientôt","","","Jeux de rôle Indépendant Coopération Solo Compatibilité manette","Phantom Compass","Phantom Compass","Windows","Bientôt","","",""
"Roots of Pacha Bientôt","","","Coopération Multijoueur Solo Compatibilité manette","Soda Den","Crytivo Inc.","Windows","Bientôt","","",""
"Ruin Raiders","15,99 €","","Action Stratégie Solo","Overpowered Team","Freedom Games","Windows","14/10/21","","",""
"Ruined King: A League of Legends Story™","29,99 €","","Jeux de rôle Indépendant Solo","Airship Syndicate","Riot Forge","Windows","16/11/21","","",""
"RUINER","19,99 €","","Action Jeux de tir Aventure Solo","Reikon Games","Devolver Digital","Windows","26/09/17","64 ","77","Très bien"
"Rumbleverse Bientôt","","","Action Combat Jeux de plateforme Multijoueur","Iron Galaxy Studios","Epic Games Publishing","Windows","Bientôt","","",""
"RUN - The world in-between","9,99 €","","Jeux de plateforme Solo Compatibilité manette","Team RUN","PID Games","Windows","14/04/22","","",""
"Sable","24,99 €","","","","","Windows","","","",""
"Saint Kotar","24,99 €","","Narración Terror Indie Compatible con mando Un solo jugador","Red Martyr Entertainment","SOEDESCO","Windows","28/10/21","","",""
"Saints Row®: The Third™ Remastered","39,99 €","","Acción Multijugador","Deep Silver Volition, Sperasoft","Deep Silver","Windows","22/05/20","65 ","74","Justo"
"Sakuna: Of Rice and Ruin","29,99 €","","Acción Simulación Plataformas Un solo jugador","Edelweiss","XSEED Games","Windows","23/06/21","81 ","80","Fuerte"
"Salt and Sacrifice Disponible le 10/05/22","15,99 €","","Acción Rol Cooperativo Multijugador Un solo jugador Compatible con mando","Ska Studios","Ska Studios","Windows","10/05/22","","",""
"Salt and Sanctuary","13,99 €","","Logros","Ska Studios LLC, Devoured Studios LLC","Ska Studios LLC","Windows","29/12/21","","",""
"Samurai Jack: Battle Through Time","39,99 €","","Acción Lucha Acción y aventura Aventura Compatible con mando","Soleil Ltd.","Adult Swim Games","Windows","22/07/20","61 ","72","Justo"
"SAMURAI SHODOWN","49,99 €","","Acción Lucha Cooperativo Multijugador Un solo jugador","SNK","SNK","Windows","11/06/20","77 ","79","Fuerte"
"SAMURAI SHODOWN NEOGEO COLLECTION","39,99 €","","Lucha Multijugador","Digital Eclipse","SNK CORPORATION","Windows","11/06/20","","",""
"Sands of Aura","21,99 €","","Acción Rol Aventura Un solo jugador Compatible con mando","Chashu Entertainment","Freedom Games","Windows","21/10/21","","",""
"Satisfactory","29,99 €","","Primera persona Simulación Mundo abierto Cooperativo Un solo jugador","Coffee Stain Studios","Coffee Stain Publishing","Windows","19/03/19","","",""
"Saturnalia Bientôt","","","Terror Indie","Santa Ragione","Santa Ragione","Windows macOS","Próximamente","","",""
"Saviors of Sapphire Wings et Stranger of Sword City Revisited","39,99 €","","","","","Windows","","","",""
"Scarf","14,99 €","","Acción y aventura Un solo jugador","Uprising Studios SL","HandyGames","Windows","23/12/21","50 ","70","Justo"
"Scarlet Hood and the Wicked Wood","14,99 €","","Aventura Compatible con mando Un solo jugador","Devespresso Games","Headup GmbH","Windows macOS","08/04/21","","",""
"Scavengers","Gratuit","","Disparos Multijugador Competitivo Compatible con mando","Midwinter Entertainment","Improbable Worlds Limited","Windows","01/05/21","","",""
"Scott Pilgrim contre le Monde : le jeu – Édition intégrale","14,99 €","","Acción Lucha","Ubisoft","Ubisoft","Windows","14/01/21","","",""
"Scourgebringer","16,99 €","","","","","Windows macOS","","82 ","81","Fuerte"
"Scrapnaut","10,99 €","","Exploración Supervivencia Mundo abierto Cooperativo Un solo jugador","SpiffyBit","RockGame S.A.","Windows","03/03/21","","",""
"Season Bientôt","","","Narración Exploración Aventura Un solo jugador","Scavengers Studio","Scavengers Studio","Windows","Próximamente","","",""
"Second Extinction™","24,99 €","","Acción Primera persona Disparos Cooperativo Multijugador","Systemic Reaction™","Systemic Reaction™","Windows","30/09/21","","",""
"Secret Government","24,99 €","","Indie Estrategia Un solo jugador","GameTrek","1C Entertainment","Windows macOS macOS","15/04/21","","",""
"Selfloss Bientôt","","","Exploración Aventura Indie Un solo jugador","Goodwin Games","Goodwin Games","Windows","Próximamente","","",""
"Serial Cleaners Bientôt","","","Acción Sigilo Indie Un solo jugador Compatible con mando","Draw Distance S.A.","Draw Distance S.A.","Windows","Próximamente","","",""
"Session: Skate Sim","24,99 €","","Simulación Un solo jugador Compatible con mando","crea-ture Studios Inc.","Nacon","Windows","17/02/22","","",""
"Severed Steel","24,99 €","","Acción Indie Un solo jugador Compatible con mando","Greylock Studio","Digerati","Windows","17/09/21","86 ","80","Fuerte"
"Shadow Complex Remastered","14,99 €","","Acción Un solo jugador","Epic Games","Epic Games","Windows macOS macOS","19/08/09","59 ","76","Fuerte"
"Shadow Man Remastered","15,99 €","","Acción Terror Aventura Un solo jugador","Nightdive Studios, Acclaim Studios Teesside","Nightdive Studios","Windows","15/04/21","42 ","74","Justo"
"Shadow of the Tomb Raider: Definitive Edition","39,99 €","","Acción Aventura Un solo jugador Compatible con mando","Eidos-Montréal, Crystal Dynamics, Nixxes Software","Square Enix","Windows","30/12/21","","",""
"Shadow Tactics: Blades of the Shogun","39,99 €","","","","","Windows","","93 ","83","Fuerte"
"Shadow Tactics - Aiko's Choice","19,98 €","","","","","Windows","","89 ","84","Poderoso"
"Shadowhand","11,99 €","","Cartas","Grey Alien Games","Positech Games","Windows","05/02/21","","",""
"Shadowrun Returns","14,99 €","","Por turnos Rol","Harebrained Schemes","Paradox Interactive","Windows","27/08/20","","",""
"Shadowrun Dragonfall - Director's Cut","14,99 €","","Por turnos Rol Estrategia","Harebrained Schemes","Paradox Interactive","Windows","27/08/20","86 ","85","Poderoso"
"Shadowrun Hong Kong - Extended Edition","19,99 €","","Rol Por turnos Indie","Harebrained Schemes","Paradox Interactive","Windows","27/08/20","87 ","83","Fuerte"
"Shady Part of Me","14,99 €","","Indie Rompecabezas Un solo jugador","Douze Dixièmes","Focus Entertainment","Windows","11/12/20","79 ","77","Fuerte"
"Shakedown - Hawaii","19,99 €","","Acción Mundo abierto Aventura Un solo jugador Compatible con mando","VBlank Entertainment","VBlank Entertainment","Windows","07/05/19","65 ","75","Fuerte"
"Shattered: Tale of the Forgotten King","23,99 €","","Acción Aventura Un solo jugador","Redlock Studio","Forthright Entertainment","Windows","22/04/22","","",""
"Sheepo","5,59 €","","Plataformas Exploración Indie Un solo jugador","Kyle Thompson","Top Hat Studios, Inc.","Windows","27/10/21","","",""
"Shenmue III - Édition standard","29,99 €","","Acción Rol Aventura Un solo jugador","Ys Net","Deep Silver","Windows","19/11/19","37 ","68","Justo"
"Sherlock Holmes: Crimes and Punishments","29,99 €","","Aventura","Frogwares","Frogwares","Windows","02/04/20","53 ","76","Fuerte"
"Sherlock Holmes: The Devil's Daughter","29,99 €","","Acción Rompecabezas Aventura Compatible con mando Un solo jugador","Frogwares","Frogwares","Windows","25/06/21","13 ","65","Débil"
"Sid Meier's Civilization® VI","59,99 €","","Por turnos Estrategia Multijugador Un solo jugador","Firaxis Games","2K","Windows","21/05/20","93 ","89","Poderoso"
"Siege Survival: Gloria Victis","24,99 €","","Simulación Supervivencia","Black Eye Games","Ravenscourt","Windows","18/05/21","","",""
"Sifu","39,99 €","","Acción Lucha Indie Logros Un solo jugador","Sloclap","Sloclap","Windows","08/02/22","84 ","80","Fuerte"
"Skate City","11,99 €","","","","","Windows","","","",""
"Skul: The Hero Slayer Bientôt","","","Logros Compatible con mando","SouthPAW Games","NEOWIZ","Windows macOS","Próximamente","92 ","83","Fuerte"
"Sky Fleet","11,99 €","","Acción Indie Estrategia Cooperativo Un solo jugador Competitivo","Enno Games","Freedom Games","Windows macOS","17/12/21","","",""
"Sky Racket","11,99 €","","Casual Deportes Indie Compatible con mando Cooperativo","Double Dash Studios","Double Dash Studios","Windows","21/09/21","","",""
"SkyDrift Infinity NOUVEAU CHEZ EPIC","7,99 €","","Acción Carreras Multijugador Un solo jugador","Digital Reality","HandyGames","Windows","06/05/22","","",""
"Skábma - Snowfall","19,99 €","","Exploración Aventura Un solo jugador","Red Stage Entertainment","PID Games","Windows","22/04/22","","",""
"Slayers X Disponible le 2022","","","Primera persona Disparos Acción Un solo jugador","Big Z Studios Inc,","No More Robots","","2022","","",""
"Slime Rancher","19,99 €","","","","","Windows macOS macOS","","64 ","76","Fuerte"
"Slime Rancher 2 Bientôt","","","","","","Windows","","","",""
"Slipways","14,99 €","","Rompecabezas Estrategia Un solo jugador","Beetlewing","Beetlewing","Windows macOS","03/06/21","","",""
"SLUDGE LIFE","14,99 €","","Aventura","Terri Vellmann & Doseone","Devolver Digital","Windows","28/05/20","57 ","75","Fuerte"
"Smalland Bientôt","","","Supervivencia Aventura Multijugador Un solo jugador Compatible con mando","Merge Games Ltd.","Merge Games Ltd.","Windows","Próximamente","","",""
"Smelter","15,99 €","","Plataformas Estrategia Acción Un solo jugador Compatible con mando","X PLUS Co., Ltd.","DANGEN Entertainment","Windows","22/04/22","54 ","70","Justo"
"SMITE","Gratuit","","Multijugador Competitivo Un solo jugador","Titan Forge Games","Hi-Rez Studios","Windows","28/04/20","82 ","81","Fuerte"
"Snake Pass","15,99 €","","Aventura Plataformas Casual Un solo jugador Compatible con mando","Sumo Digital","Secret Mode","Windows","12/01/22","51 ","74","Justo"
"Sniper Elite 5 Disponible le 26/05/22","49,99 €","","Acción Disparos Sigilo","Rebellion","Rebellion","Windows","26/05/22","","",""
"SnowRunner","29,99 €","","","","","Windows","","80 ","80","Fuerte"
"Sockventure","14,49 €","","Acción Indie Acción y aventura Aventura Un solo jugador","Nighthouse Games","Versus Evil","Windows","11/05/21","","",""
"Sokobond","7,99 €","","Casual Rompecabezas Indie","Draknek & Friends","Draknek & Friends","Windows macOS","27/04/21","","",""
"Solar Ash Kingdom","33,99 €","","Acción Aventura Indie Un solo jugador","Heart Machine","Annapurna Interactive","Windows","02/12/21","66 ","77","Fuerte"
"Solitairica","7,99 €","","Roguelite Cartas Indie","Righteous Hammer Games","Righteous Hammer Games","Windows","29/12/20","","",""
"SOMA","24,99 €","","Terror Narración Supervivencia Compatible con mando Un solo jugador","Frictional Games","Frictional Games","Windows macOS macOS","22/09/15","80 ","83","Fuerte"
"Song of Farca","15,99 €","","Aventura Indie Simulación Un solo jugador","Wooden Monkeys","Alawar Premium","Windows macOS","22/07/21","","",""
"Song of Horror Complete Edition","29,99 €","","Terror Aventura Acción Un solo jugador Compatible con mando","Protocol Games","Raiser Games","Windows","10/03/22","53 ","71","Justo"
"Song Of Nunu: A League of Legends Story™ Bientôt","","","Rompecabezas Aventura Indie Un solo jugador","Tequila Works","Riot Forge","Windows","Próximamente","","",""
"Songs of Conquest Bientôt","","","Estrategia Aventura Un solo jugador","Lavapotion","Coffee Stain Publishing","Windows macOS","Próximamente","","",""
"Sonic Colors: Ultimate","39,99 €","","Acción Casual Plataformas Cooperativo Un solo jugador","Blind Squirrel Entertainment","SEGA","Windows","07/09/21","49 ","74","Justo"
"Sonic Mania","19,99 €","","Acción Plataformas Cooperativo Un solo jugador Compatible con mando","Lab42","SEGA","Windows","24/06/21","97 ","87","Poderoso"
"Soundfall","","","Aventura Cooperativo Multijugador","Drastic Games","Noodlecake","Windows","–","","",""
"South Park™ : L'Annale du Destin™ Édition Standard","59,99 €","","Por turnos Rol Comedia Compatible con mando Un solo jugador","Ubisoft San Francisco","Ubisoft","Windows","16/10/17","80 ","82","Fuerte"
"South Park™ : Le Bâton de la Vérité™","29,99 €","","Por turnos Rol Comedia Compatible con mando Un solo jugador","Obsidian Entertainment","Ubisoft","Windows","04/03/14","88 ","85","Poderoso"
"Space Punks","Gratuit","","Rol Disparos Cooperativo Multijugador Un solo jugador","Flying Wild Hog","Jagex Ltd.","Windows","20/04/22","","",""
"Spacebase Startopia - Standard Edition","39,99 €","","Simulación Estrategia","Realmforge Studios","Kalypso Media","Windows","26/03/21","","",""
"Spacelines from the Far Out Bientôt","","","Socialización Roguelite Cooperativo Multijugador Un solo jugador Compatible con mando","Coffeenauts","Skystone Games Inc.","Windows","Próximamente","","",""
"Speed Brawl","16,79 €","","Acción Lucha Plataformas Cooperativo Multijugador Un solo jugador Compatible con mando","Double Stallion Games","Double Stallion Games","Windows","18/09/18","73 ","74","Justo"
"Spelldrifter","15,99 €","","Jeux de rôle Compatibilité manette Solo","Free Range Games","Free Range Games","Windows","19/04/21","","",""
"SpellForce 3: Fallen God","19,99 €","","Jeux de rôle Stratégie Solo","Grimlore Games","THQ Nordic","Windows","14/12/20","","",""
"SpellForce 3: Soul Harvest","19,99 €","","Jeux de rôle Stratégie Multijoueur Solo","Grimlore Games","THQ Nordic","Windows","16/07/21","","",""
"SpellForce 3: Versus Edition","Gratuit","","Jeux de rôle Stratégie Multijoueur Solo","Grimlore Games","THQ Nordic","Windows","14/12/20","46 ","74","Passable"
"Spirit of the Island","24,99 €","","Coopération Multijoueur Solo","1M Bits Horde","META Publishing","Windows","16/03/22","","",""
"Spiritfarer®: Farewell Edition","24,99 €","","Indépendant Simulation Jeux de plateforme","Thunder Lotus","Thunder Lotus","Windows Mac OS","18/08/20","","",""
"Tom Clancy's Splinter Cell","4,99 €","","Action Infiltration","Ubisoft","Ubisoft","Windows","11/03/21","","",""
"Splinter Cell Chaos Theory","9,99 €","","Action Infiltration Coopération","Ubisoft Montreal","Ubisoft","Windows","30/03/21","","",""
"Tom Clancy's Splinter Cell Double Agent","4,99 €","","Action Infiltration","Ubisoft Montreal","Ubisoft","Windows","11/03/21","","",""
"SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated","29,99 €","","","","","Windows","","46 ","70","Passable"
"Spotify: Music and Podcasts","Gratuit","","Party game","Spotify AB","Spotify AB","Windows Mac OS","17/12/20","","",""
"Star Renegades","24,99 €","","Jeux de rôle Stratégie Indépendant Solo Compatibilité manette","Massive Damage, Inc","Raw Fury","Windows","04/03/21","74 ","77","Très bien"
"Star Trek Online","Gratuit","","Exploration Jeux de rôle Multijoueur","Cryptic Studios","Perfect World Entertainment","Windows","06/10/20","","",""
"Star Trek: Resurgence Bientôt","","","Action Narration","Dramatic Labs","Dramatic Labs","Windows","Bientôt","","",""
"STAR WARS Jedi: Fallen Order Édition Standard","39,99 €","","Action Aventure Compatibilité manette Solo","Respawn Entertainment","Electronic Arts","Windows","14/11/19","83 ","83","Très bien"
"STAR WARS™: Squadrons","39,99 €","","Action Multijoueur Solo","Motive Studios","Electronic Arts","Windows","02/10/20","80 ","79","Très bien"
"STAR WARS™ Battlefront™ II: Édition Célébration","39,99 €","","Action Jeux de tir Aventure Coopération Multijoueur Solo","DICE","Electronic Arts","Windows","14/01/21","28 ","68","Passable"
"STAR WARS™ Battlefront™ Ultimate Edition","19,99 €","","Action Jeux de tir Aventure Coopération Multijoueur Solo","DICE","Electronic Arts","Windows","14/01/21","33 ","71","Passable"
"Starsand","16,79 €","","Action Simulation Aventure Solo","Tunnel Vision Studio","Toplitz Productions","Windows","04/11/21","","",""
"Startup Panic","11,99 €","","Indépendant Simulation Stratégie Solo","Algo Rocks","tinyBuild","Windows","03/12/20","","",""
"State of Decay 2: Juggernaut Edition","29,99 €","","Aventure","Undead Labs","Xbox Game Studios","Windows","13/03/20","30 ","69","Passable"
"Steep Édition Standard","29,99 €","","Action Sport Monde ouvert Compatibilité manette","Ubisoft Annecy, Ubisoft Montpellier, Ubisoft Kiev","Ubisoft","Windows","02/12/16","28 ","71","Passable"
"Stick It To The Man!","5,99 €","","Action Aventure Jeux de plateforme","Zoink","Ripstone","Windows","17/09/20","83 ","80","Très bien"
"Stonefly","16,79 €","","Action Jeux de rôle Aventure Solo","Flight School Studio","MWM Interactive","Windows","01/06/21","","",""
"Stories Untold","9,99 €","","Première personne Narration Aventure Solo","No Code","Devolver Digital","Windows Mac OS Mac OS","27/02/17","74 ","80","Très bien"
"Stranded Deep","14,99 €","","Survie Indépendant","Beam Team Games","Beam Team Publishing","Windows","28/12/20","","",""
"Stray Blade Bientôt","","","","","","Windows","","","",""
"Stubbs the Zombie in Rebel Without a Pulse","15,99 €","","Action Coopération Solo","Aspyr","Aspyr","Windows","14/10/21","32 ","57","Mauvais"
"Submerged","15,99 €","","Aventure Exploration Solo","Uppercut Games Pty Ltd","Uppercut Games Pty Ltd","Windows","10/03/22","15 ","54","Mauvais"
"Submerged: Hidden Depths","23,99 €","","Exploration Aventure Solo","Uppercut Games Pty Ltd","Uppercut Games Pty Ltd","Windows","10/03/22","57 ","74","Passable"
"Subnautica","29,99 €","","","","","Windows Mac OS Mac OS","","92 ","85","Super"
"Subnautica Below Zero","29,99 €","","","","","Windows Mac OS","","","",""
"Subway Midnight","7,99 €","","","","","Windows","","","",""
"SuchArt: Genius Artist Simulator","15,99 €","","Simulation Première personne Solo","Voolgi","HypeTrain Digital","Windows","14/07/21","","",""
"Sunblaze","14,99 €","","Casse-tête Jeux de plateforme Indépendant Compatibilité manette","Games From Earth","Bonus Stage Publishing","Windows","14/10/21","82 ","73","Passable"
"Sundered: Eldritch Edition","19,99 €","","Action Indépendant Compatibilité manette","Thunder Lotus","Thunder Lotus","Windows Mac OS Mac OS","28/07/17","87 ","81","Très bien"
"Sunless Sea","14,49 €","","Jeux de rôle Aventure Indépendant","Failbetter Games","Failbetter Games","Windows Mac OS","25/02/21","81 ","81","Très bien"
"Super Buckyball Tournament Bientôt","","","Action Coopération Multijoueur Solo","Pathea Games","Pathea Games","Windows","Bientôt","","",""
"Super Meat Boy","14,99 €","","Action Jeux de plateforme Compatibilité manette Solo","Team Meat","Team Meat","Windows","20/10/10","96 ","83","Très bien"
"Super Meat Boy Forever","15,99 €","","Action Jeux de plateforme Solo","Team Meat","Team Meat","Windows","23/12/20","39 ","66","Passable"
"Super Squad","Gratuit","","Jeux de tir Multijoueur","Bad Fox Studios","Bad Fox Studios","Windows","25/06/21","","",""
"Superbrothers: Sword & Sworcery EP","6,99 €","","Indépendant Aventure Solo","Capybara Games","Capybara Games","Windows","30/07/20","","",""
"SUPERHOT","22,99 €","","","","","Windows","","77 ","82","Très bien"
"SUPERHOT: Mind Control Delete","24,99 €","","Action Première personne Jeux de tir Compatibilité manette Solo","SUPERHOT Team","SUPERHOT Team","Windows","16/07/20","84 ","81","Très bien"
"Superliminal","15,99 €","","Première personne Casse-tête Compatibilité manette Solo","Pillow Castle","Pillow Castle","Windows Mac OS","12/11/19","66 ","75","Très bien"
"SuperMash","15,99 €","","","","","Windows","","17 ","51","Mauvais"
"Supraland","19,99 €","","Casse-tête Exploration Solo","Supra Games","Supra Games","Windows","02/07/21","75 ","77","Très bien"
"Surviving Mars","29,99 €","","","","","Windows Mac OS","","63 ","77","Très bien"
"Surviving the Aftermath","29,99 €","","","","","Windows","","","",""
"Suzerain","12,49 €","","Indépendant Aventure Compatibilité manette Solo","Torpor Games","Fellow Traveller","Windows Mac OS","20/05/21","73 ","76","Très bien"
"Swords of Legends Online","Gratuit","","Action Jeux de rôle Coopération Multijoueur Solo","Wangyuan Shengtang Entertainment Technology CO.","Gameforge 4D GmbH","Windows","09/07/21","20 ","69","Passable"
"Syberia: The World Before","39,99 €","","Casse-tête Narration Aventure Solo Compatibilité manette","Koalabs","Microids","Windows","18/03/22","","",""
"Symphony of War Disponible le T2, 2022","","","Aventure Stratégie Jeux de rôle Solo","Dancing Dragon Games","Freedom Games","Windows","T2, 2022","","",""
"Synergia","6,99 €","","Casual Jeux de rôle Indépendant Solo","Radi Art","Top Hat Studios, Inc.","Windows Mac OS","10/08/21","","",""
"System Shock Bientôt","35,99 €","","Horreur Solo","Nightdive Studios","Prime Matter","Windows","Bientôt","","",""
"Tacoma","16,99 €","","","","","Windows Mac OS","","62 ","77","Très bien"
"Tales from the Borderlands","19,99 €","","Exploration Narration Aventure","Telltale Games","2K","Windows","17/02/21","96 ","87","Super"
"Tales of the Neon Sea","13,99 €","","Casse-tête Aventure Solo Compatibilité manette","Palm Pioneer","Thermite Games","Windows","01/04/21","","",""
"Tandem: A Tale of Shadows","24,99 €","","Jeux de plateforme Casse-tête Action-aventure Solo","Monochrome Paris","Hatinh Interactive","Windows","21/10/21","","",""
"Tangle Tower Disponible le 12/05/22","","","Indépendant Comédie Aventure Solo Compatibilité manette","SFB Games","SFB Games","Windows","12/05/22","64 ","79","Très bien"
"Tannenberg","17,50 €","","Action Jeux de tir Coopération Multijoueur Solo","M2H & Blackmill Games","M2H","Windows Mac OS","22/07/21","41 ","69","Passable"
"Teacup","7,99 €","","Casse-tête Aventure Solo","Smarto Club","Whitethorn Digital","Windows","23/09/21","","",""
"Teamfight Tactics","Gratuit","","Stratégie Multijoueur Compétitif Solo","Riot Games","Riot Games","Windows Mac OS","04/11/21","","",""
"Tennis Manager 2021","31,99 €","","Simulation","Rebound CG.","Rebound CG.","Windows Mac OS","25/05/21","","",""
"TERRACOTTA Disponible le T4, 2022","","","Action Indépendant Solo","Appnormals Team","Freedom Games","Windows","T4, 2022","","",""
"Terraforming Mars NOUVEAU CHEZ EPIC","Gratuit","","Tour par tour Stratégie Solo Multijoueur","Asmodee Digital","Asmodee Digital","Windows Mac OS","05/05/22","","",""
"Terrain of Magical Expertise","24,99 €","","Narration Jeux de rôle Solo Compatibilité manette","NEO-C Productions L.L.C","1C Entertainment","Windows","09/09/21","","",""
"Tetris® Effect: Connected","31,99 €","","Casse-tête Multijoueur Solo VR","Monstars inc., Resonair, Stage Games","Enhance","Windows","23/07/19","97 ","90","Super"
"Tharsis","","","Stratégie Solo","Choice Provisions","Choice Provisions","Windows","–","31 ","66","Passable"
"The Alien Cube","19,99 €","","Aventure Horreur Indépendant Solo","Alessandro Guzzo","Alessandro Guzzo","Windows","14/10/21","","",""
"La collection Alto","7,99 €","","Aventure Indépendant Solo","Team Alto","Snowman","Windows","13/08/20","92 ","77","Très bien"
"The Anacrusis Bientôt","","","Coopération Multijoueur Compatibilité manette","Stray Bombay","Stray Bombay","Windows","Bientôt","","",""
"The Architect: Paris","13,99 €","","Casual Solo","Enodo Games","Enodo Games","Windows","12/05/21","","",""
"The Banner Saga Epic Trilogy","43,99 €","","Jeux de rôle Stratégie Indépendant Solo","Stoic","Stoic","Windows Mac OS","21/07/21","","",""
"The Binding of Isaac: Repentance","39,99 €","","Action Jeux de rôle Rogue-lite Aventure Coopération Solo Compatibilité manette","Nicalis, Inc. | Edmund McMillen","Nicalis, Inc.","Windows","31/03/21","","",""
"The Bridge","9,99 €","","Casse-tête Aventure Solo Compatibilité manette","The Quantum Astrophysicists Guild Ty Taylor Mario Castañeda","The Quantum Astrophysicists Guild","Windows","22/02/13","50 ","73","Passable"
"The Chameleon","7,99 €","","Action Infiltration Indépendant Solo Compatibilité manette","Merlino Games","Merlino Games","Windows","13/07/21","","",""
"The Colonists","19,99 €","","","","","Windows","","60 ","74","Passable"
"The Count Lucanor","7,99 €","","Horreur Survie Infiltration Solo","Baroque Decay","Neon Doctrine","Windows","30/06/21","59 ","76","Très bien"
"The Crew 2 Édition Standard","","","Course Compatibilité manette Multijoueur Solo","Ivory Tower","Ubisoft","Windows","–","25 ","66","Passable"
"THE CYCLE Bientôt","","","Action Jeux de tir Multijoueur Compétitif","YAGER","YAGER","Windows","Bientôt","","",""
"The Division 2 Édition Standard","29,99 €","","Action Jeux de rôle Jeux de tir Compatibilité manette Multijoueur","Ubisoft","Ubisoft","Windows","15/03/19","91 ","83","Très bien"
"The Drone Racing League Simulator","7,99 €","","Simulation Course Multijoueur Solo","The Drone Racing League","The Drone Racing League","Windows Mac OS","04/08/21","","",""
"Le Donjon de Naheulbeuk","34,99 €","","Jeux de rôle Aventure Compatibilité manette Solo","Artefacts Studio","Dear Villagers","Windows Mac OS","17/09/20","","",""
"The End is Nigh","11,99 €","","Action Jeux de plateforme Indépendant Solo Compatibilité manette","Edmund McMillen, Tyler Glaiel","Edmund McMillen, Tyler Glaiel","Windows","12/07/17","82 ","82","Très bien"
"The Escapists","14,99 €","","","","","Windows","","46 ","73","Passable"
"The Escapists 2","19,99 €","","Indépendant Simulation Stratégie","Team17 et Mouldy Toof Studios","Team17 Digital Ltd","Windows","09/07/20","61 ","75","Très bien"
"The Eternal Cylinder","23,99 €","","Exploration Survie Monde ouvert Aventure Solo","ACE Team","Good Shepherd Entertainment","Windows","30/09/21","","",""
"The Fabled Woods","9,99 €","","Action Première personne Narration Solo","CyberPunch Studios","Headup","Windows","25/03/21","","",""
"The Falconeer: Standard Edition","19,99 €","","Action Monde ouvert Indépendant Solo","Tomas Sala","Wired Productions","Windows","05/08/21","41 ","69","Passable"
"The Fall","7,99 €","","Action Casse-tête Aventure Solo","Over The Moon","Over The Moon","Windows Mac OS","18/03/21","45 ","74","Passable"
"The Fall Part 2: Unbound","13,99 €","","Action Casse-tête Aventure Solo Compatibilité manette","Over The Moon","Over The Moon","Windows Mac OS","15/03/21","47 ","72","Passable"
"The First Tree","9,99 €","","Exploration Aventure Indépendant Compatibilité manette","David Wehle","David Wehle","Windows Mac OS","15/04/21","77 ","80","Très bien"
"The Flower Collectors","19,99 €","","Aventure Première personne Indépendant Solo","Mi'pu'mi Games","Mi'pu'mi Games","Windows","18/12/20","","",""
"The Forgotten City","24,99 €","","Action Indépendant Casse-tête Jeux de rôle Aventure","Modern Storyteller","Plug In Digital","Windows","28/07/21","91 ","84","Super"
"The Hand of Merlin","21,99 €","","Indépendant Jeux de rôle Rogue-lite Stratégie","Room-C Games","Versus Evil","Windows","11/05/21","","",""
"The Invincible","","","Narration Aventure Première personne Solo","Starward Industries","Starward Industries","Windows","–","","",""
