"Name","Price","genres","features","developer","publisher","platform","Release date","note critique","moyenne avis","Classification OpenCritique"
"Hello Neighbor: Hide and Seek","24,99 €","","????? ????? ??????????? ?????????","tinyBuild Games","tinyBuild Games","Windows","07.12.18","","",""
"Hello Neighbor 2 Bientôt","31,99 €","","????????? ??????????? ???? ?????????","Dynamic Pixels","tinyBuild","Windows","????? ????????","","",""
"Hellpoint","27,99 €","","Action Jeux de rôle Coopération Multijoueur Solo","Cradle Games","tinyBuild","Windows Mac OS","30/07/20","","",""
"Heroes & Generals WWII","Gratuit","","Action Jeux de tir Coopération Multijoueur","TLM Partners","TLM Partners","Windows","24/09/20","","",""
"Hirilun","7,99 €","","Jeux de plateforme Solo","Gone Mad Studios","Meridian4","Windows","14/03/22","","",""
"Hitchhiker - Un jeu d'énigme","13,99 €","","Casual Aventure Solo","Mad About Pandas","Versus Evil","Windows","15/04/21","","",""
"HITMAN - Édition Jeu de l'année","59,99 €","","Action Action-aventure Jeux de tir Infiltration Solo","IO Interactive A/S","IO Interactive A/S","Windows","03/09/20","92 ","84","Super"
"HITMAN 3","59,99 €","","Action Infiltration Succès Compatibilité manette Solo","IO Interactive A/S","IO Interactive A/S","Windows","27/08/20","92 ","86","Super"
"Hob","19,99 €","","Action Exploration Action-aventure Aventure Solo","Runic Games","Perfect World Entertainment","Windows","02/04/20","63 ","76","Très bien"
"Homeworld 3 Bientôt","","","Stratégie Coopération Multijoueur Solo","Blackbird Interactive","Gearbox Publishing","Windows","Bientôt","","",""
"Hood: Outlaws & Legends","19,99 €","","Action Infiltration Aventure Compatibilité manette Coopération Multijoueur","Sumo Digital","Focus Entertainment","Windows","10/05/21","24 ","66","Passable"
"Horace","14,99 €","","Aventure Jeux de plateforme Indépendant Solo","Paul Helman Sean Scapelhorn","505 Games","Windows","18/07/19","81 ","81","Très bien"
"HordeCore","9,99 €","","Action Coopération Succès Solo Compatibilité manette","Digitality Studios","META Publishing","Windows","02/03/22","","",""
"Horizon Chase Turbo","15,99 €","","Course Indépendant","AQUIRIS","AQUIRIS","Windows","24/06/21","69 ","79","Très bien"
"Horizon Zero Dawn™ Complete Edition","49,99 €","","Action Jeux de rôle Action-aventure Aventure Solo","Guerrilla","PlayStation PC LLC","Windows","07/08/20","94 ","89","Super"
"Horror Story: Hallowseed","19,99 €","","Horreur Solo","Jeff Winner","1C Entertainment","Windows","28/10/21","","",""
"HORROR TALES: The Wine","11,99 €","","Horreur Survie Exploration Compatibilité manette Solo","Carlos Coronado","Carlos Coronado","Windows","30/07/21","","",""
"House Flipper","20,99 €","","Casual Simulation Indépendant Succès Solo Compatibilité manette","Empyrean","Frozen District","Windows","05/08/21","43 ","61","Mauvais"
"Hue","11,99 €","","Casse-tête Aventure Jeux de plateforme Solo","Fiddle Sticks","Curve Digital","Windows","02/07/20","79 ","79","Très bien"
"Human Resource Machine","11,99 €","","","","","Windows Mac OS Mac OS","","","",""
"HUMANKIND™ Édition Standard","49,99 €","","Stratégie Multijoueur Solo","AMPLITUDE Studios","SEGA","Windows Mac OS","17/08/21","64 ","80","Très bien"
"Hundred Days - Simulation viticole","19,99 €","","Indépendant Simulation Stratégie Solo","Broken Arms Games","Broken Arms Games","Windows Mac OS","13/05/21","","",""
"Huntdown","19,99 €","","Action Jeux de plateforme Coopération","Easy Trigger Games","Coffee Stain Publishing","Windows Mac OS","12/05/20","89 ","85","Super"
"Hyper Light Drifter","14,99 €","","Action Jeux de rôle Coopération Solo Compatibilité manette","Heart Machine","Heart Machine","Windows","31/03/16","86 ","84","Super"
"HyperParasite","11,99 €","","Action Action-aventure Aventure Solo","Troglobytes Games","Nicalis, Inc.","Windows","19/03/21","42 ","69","Passable"
"Hypnospace Outlaw","16,79 €","","Simulation Jeux de rôle Indépendant Solo Compatibilité manette","Tendershoot","No More Robots","Windows","26/03/21","96 ","83","Très bien"
"I Am Dead","15,99 €","","Indépendant Casse-tête Aventure","Hollow Ponds","Annapurna Interactive","Windows","08/10/20","83 ","81","Très bien"
"Icewind Dale: Enhanced Edition","15,99 €","","Jeux de rôle Coopération Solo","Beamdog","Beamdog","Windows Mac OS","28/09/21","","",""
"Idle Champions of the Forgotten Realms","Gratuit","","Stratégie Solo","Codename Entertainment","Codename Entertainment","Windows","16/02/21","","",""
"Imagine Earth","24,99 €","","Construction de villes Stratégie Simulation Compatibilité manette Solo","Serious Bros.","Serious Bros.","Windows","28/04/22","","",""
"Immortals Fenyx Rising Édition Standard","59,99 €","","Action Aventure","Ubisoft","Ubisoft","Windows","03/12/20","78 ","79","Très bien"
"Imp of the Sun","19,99 €","","Action Aventure Indépendant Solo","Sunwolf Entertainment","Fireshine Games","Windows","24/03/22","","",""
"In Sound Mind","34,99 €","","Horreur Aventure Solo","We Create Stuff","Modus Games","Windows","28/09/21","42 ","74","Passable"
"INDUSTRIA","19,99 €","","Action Jeux de tir Aventure Solo","Bleakmill","Headup","Windows","30/09/21","","",""
"Industries of Titan","24,99 €","","Simulation Construction de villes Stratégie Solo","Brace Yourself Games","Brace Yourself Games","Windows","14/04/20","","",""
"Inertial Drift","15,99 €","","Course Indépendant Solo","Level 91 Entertainment","PQube","Windows","05/10/21","86 ","81","Très bien"
"InnerSpace","19,99 €","","Exploration Solo","PolyKnight Games","Aspyr Media","Windows Mac OS","16/01/18","25 ","66","Passable"
"INSIDE","15,99 €","","Indépendant Casse-tête Aventure Compatibilité manette Solo","Playdead","Playdead","Windows Mac OS","07/07/16","94%","1 ","uper"
"Insurmountable","19,99 €","","Stratégie Rogue-lite Survie Solo","ByteRockers' Games","Daedalic Entertainment","Windows","14/04/22","58 ","80","Très bien"
"Into the Breach","14,99 €","","Tour par tour Rogue-lite Stratégie Solo","Subset Games","Subset Games","Windows Mac OS","27/02/18","90 ","88","Super"
"iRacing - nouvel abonnement de 3 mois","14,49 €","","Simulation Sport Course Multijoueur","iRacing","iRacing","Windows","09/02/21","","",""
"Iratus: Lord of the Dead Disponible le T2, 2022 NOUVEAU CHEZ EPIC","","","Stratégie Jeux de rôle Tour par tour Solo","Unfrozen","Daedalic Entertainment","Windows Mac OS","T2, 2022","","",""
"Iron Danger","19,98 €","","Jeux de rôle Action-aventure Indépendant Solo","Action Squad Studios","Daedalic Entertainment","Windows","18/01/22","52 ","72","Passable"
"Iron Harvest","29,99 €","","Action Casual Stratégie Coopération Multijoueur Solo","King Art Games","PRIME MATTER","Windows","19/11/20","","",""
"Ironcast","12,99 €","","Jeux de rôle Stratégie Indépendant Solo Compatibilité manette","Dreadbit Games","Ripstone","Windows","08/07/21","70 ","76","Très bien"
"It follows you","1,59 €","","Horreur Infiltration Indépendant Solo","Boom Games","Boom Games","Windows","14/01/22","","",""
"itch.io","Gratuit","","","itch.io","itch.io","Windows","22/04/21","","",""
"JANITOR BLEEDS","9,99 €","","Horreur Indépendant Aventure Solo Compatibilité manette","Korpus","Bonus Stage Publishing","Windows","07/04/22","","",""
"JARS","11,99 €","","Stratégie Indépendant Compatibilité manette Solo","Mousetrap Games","Daedalic Entertainment","Windows Mac OS","20/10/21","","",""
